run,DMC_Method,Nmcmc_1e4,band_max,band_min,calc_mode,maxOrder,n_meas,prefix,sign_im,sign_re,temper_first_line
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/B0_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9485333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/B0_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9604,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/B0_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9528,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/Bbest_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9532,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/Bbest_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.962,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/Bbest_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9606666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/Bbest_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9649333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/Bbest_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.8796,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/Bbest_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9694666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/P1_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9593333333333334,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/P1_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9528,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/P1_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.8793333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/P1_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9522666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/P1_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9013333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/P1_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9409333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C6/runs/base_0,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9629333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C6/runs/base_1,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.964,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C6/runs/cap2_label_only_4,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9349333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C6/runs/cap2_label_only_5,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.948,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C6/runs/tau2_label_only_2,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9421333333333334,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C6/runs/tau2_label_only_3,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9554666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C7/runs/b0_0,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.96,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C7/runs/b0_1,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.8306666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C7/runs/bbest_0,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.96,1 T
