case,r1_result,naive_generated_result,dag_result,max_error_including_Op,status
HS_n2_b1/DEV/change_omega,(0.0035236481655610712+0j),(0.0035236481655610712+0j),(0.0035236481655610712+0j),0.0,PASS
HS_n2_b1/DEV/change_g,(0.022458933975685484+0j),(0.022458933975685484+0j),(0.022458933975685484+0j),0.0,PASS
HS_n2_b1/DEV/g_zero,0j,0j,0j,0.0,PASS
HS_n2_b1/DEV/joint_parameters,(0.01818182213627172+0j),(0.01818182213627172+0j),(0.01818182213627172+0j),0.0,PASS
HS_n2_b1/DEV/joint_sample,(0.001894412421181886+0j),(0.0018944124211818863+0j),(0.0018944124211818863+0j),2.168404344971009e-19,PASS
HS_n2_b1/DEV/repeat_q_then_separate,(0.003835721205083103+0j),(0.003835721205083103+0j),(0.003835721205083103+0j),0.0,PASS
HS_n2_b1/DEV/repeat_dtau_then_separate,(0.004927664913080955+0j),(0.0049276649130809555+0j),(0.0049276649130809555+0j),8.673617379884035e-19,PASS
HS_n2_b1/DEV/change_L_analytic,(0.0009589303012707757+0j),(0.0009589303012707757+0j),(0.0009589303012707757+0j),0.0,PASS
HS_n2_b1/DEV/small_nonzero_g,(9.353991660010617e-34+0j),(9.353991660010617e-34+0j),(9.353991660010617e-34+0j),0.0,PASS
HS_n2_b1/DEV/longer_legal_intervals,(0.003458550134058782+0j),(0.0034585501340587818+0j),(0.0034585501340587818+0j),4.336808689942018e-19,PASS
HS_n2_b1/DEV/same_input_repeat,(0.003835721205083103+0j),(0.003835721205083103+0j),(0.003835721205083103+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/base,(0.005309302340981862+0j),(0.005309302340981862+0j),(0.005309302340981862+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/change_k,(0.005662373762008343+0j),(0.005662373762008343+0j),(0.005662373762008343+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/change_q,(0.005491745174293475+0j),(0.005491745174293476+0j),(0.005491745174293476+0j),8.673617379884035e-19,PASS
HS_n2_b1/RESERVED_CONFIRMATION/change_tau,(0.0020755524454569426+0j),(0.0020755524454569426+0j),(0.0020755524454569426+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/change_t,(0.00471950371764859+0j),(0.00471950371764859+0j),(0.00471950371764859+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/change_omega,(0.005240273751881882+0j),(0.0052402737518818816+0j),(0.0052402737518818816+0j),8.673617379884035e-19,PASS
HS_n2_b1/RESERVED_CONFIRMATION/change_g,(0.03108705360938259+0j),(0.03108705360938259+0j),(0.03108705360938259+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/g_zero,0j,0j,0j,0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/joint_parameters,(0.028183429609087193+0j),(0.028183429609087193+0j),(0.028183429609087193+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/joint_sample,(0.0008327551176548954+0j),(0.0008327551176548952+0j),(0.0008327551176548952+0j),2.168404344971009e-19,PASS
HS_n2_b1/RESERVED_CONFIRMATION/repeat_q_then_separate,(0.005331895420915348+0j),(0.005331895420915347+0j),(0.005331895420915347+0j),8.673617379884035e-19,PASS
HS_n2_b1/RESERVED_CONFIRMATION/repeat_dtau_then_separate,(0.001622282950522007+0j),(0.0016222829505220067+0j),(0.0016222829505220067+0j),4.336808689942018e-19,PASS
HS_n2_b1/RESERVED_CONFIRMATION/change_L_analytic,(0.001313335833291611+0j),(0.0013133358332916107+0j),(0.0013133358332916107+0j),2.168404344971009e-19,PASS
HS_n2_b1/RESERVED_CONFIRMATION/small_nonzero_g,(1.2947544193828653e-33+0j),(1.2947544193828653e-33+0j),(1.2947544193828653e-33+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/longer_legal_intervals,(0.000862207789490643+0j),(0.000862207789490643+0j),(0.000862207789490643+0j),0.0,PASS
HS_n2_b1/RESERVED_CONFIRMATION/same_input_repeat,(0.005309302340981862+0j),(0.005309302340981862+0j),(0.005309302340981862+0j),0.0,PASS
HS_n3_b1/DEV/base,(0.00023812627788467457+0j),(0.00023812627788467454+0j),(0.00023812627788467454+0j),2.710505431213761e-20,PASS
HS_n3_b1/DEV/change_k,(0.0005295230107755038+0j),(0.0005295230107755037+0j),(0.0005295230107755037+0j),1.0842021724855044e-19,PASS
HS_n3_b1/DEV/change_q,(0.00043041547655890374+0j),(0.0004304154765589038+0j),(0.0004304154765589038+0j),5.421010862427522e-20,PASS
HS_n3_b1/DEV/change_tau,(0.00018308227455897117+0j),(0.00018308227455897123+0j),(0.00018308227455897123+0j),5.421010862427522e-20,PASS
